Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Class,Gender of Victim(s)
20,42.322001,-83.174744,48126,MI,Michigan,2014,2014-06-02T00:00:00,Public Campaign,public campaigns (targeting community),male and female
21,41.47566,-81.694336,44113,OH,Ohio,2016,2016-06-13T00:00:00,National Political Speech,public speech (political figures),male and female
22,33.682068,-116.17939,92236,CA,California,2015,2015-12-13T00:00:00,Vandalism,crimes against property,male and female
23,34.043557,-118.22937,90033,CA,California,2016,2016-01-16T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
24,35.903512,-79.044571,27514,NC,North Carolina,2015,2015-02-12T00:00:00,Homicide,crimes against people,male and female
25,33.744897,-84.402466,30303,GA,Georgia,2016,2016-06-08T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male and female
26,41.877741,-87.643433,60661,IL,Illinois,2016,2016-03-20T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male and female
27,40.844983,-73.876877,10460,NY,New York,2016,2016-01-16T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
28,37.548933,-77.434387,23219,VA,Virginia,2015,2015-12-29T00:00:00,Political Speech,public speech (political figures),male
29,47.599072,-122.331309,98104,WA,Washington,2015,2015-08-12T00:00:00,Public Campaign,public campaigns (targeting community),male and female
30,45.560218,-94.163818,56303,MN,Minnesota,2013,2013-10-13T00:00:00,National Political Speech,public speech (political figures),male and female
31,34.198173,-79.766235,29506,SC,South Carolina,2015,2015-10-15T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
34,42.342305,-83.056641,48201,TN,Tennessee,2012,2012-09-14T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
35,42.720786,-84.416199,48864,MI,Michigan,2014,2014-07-07T00:00:00,Assault,crimes against people,female
36,38.908133,-77.041626,20036,MI,Michigan,2013,2013-08-21T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
37,43.663898,-70.257568,4101,ME,Maine,2011,2011-05-02T00:00:00,Vandalism,crimes against property,male and female
38,40.713956,-74.003917,10007,NY,New York,2012,2012-02-25T00:00:00,Political Speech,public speech (political figures),male and female
39,35.146863,-90.049438,38103,TN,Tennessee,2011,2011-05-07T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
40,35.191767,-80.859375,28209,NC,North Carolina,2013,2013-07-05T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
41,38.582526,-92.175293,65101,MO,Missouri,2013,2013-07-05T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
42,40.713956,-74.014893,10285,NY,New York,2010,2010-08-23T00:00:00,Public Campaign,public campaigns (targeting community),male and female
43,38.899583,-77.047119,20037,DC,District of Columbia,2010,2010-08-15T00:00:00,National Political Speech,public speech (political figures),male and female
44,41.660601,-83.551025,43620,OH,Ohio,2012,2012-10-03T00:00:00,Vandalism,crimes against property,male and female
45,29.707838,-82.37706,32606,FL,Florida,2010,2010-09-10T00:00:00,Public Campaign,public campaigns (targeting community),male and female
46,35.835628,-86.407471,37129,TN,Tennessee,2011,2011-05-19T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
47,38.444985,-78.87085,22801,VA,Virginia,2012,2012-09-16T00:00:00,Vandalism,crimes against property,male and female
49,38.634036,-90.197754,63106,MO,Missouri,2010,2010-09-26T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male
50,44.964798,-93.191528,55114,MN,Minnesota,2016,2016-11-06T00:00:00,National Political Speech,public speech (political figures),male and female
51,27.264396,-80.359497,34953,FL,Florida,2016,2016-07-03T00:00:00,Assault,crimes against people,male
52,42.043301,-71.92749,1571,MA,Massachusetts,2016,2016-07-05T00:00:00,Anti-Cemetery Campaign,public campaigns (targeting community),male and female
53,40.93219,-73.898163,10701,NY,New York,2016,2016-06-19T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
54,40.781061,-73.966827,10024,NY,New York,2016,2016-03-03T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),female
55,38.251123,-85.753784,40202,KY,Kentucky,2016,2016-05-23T00:00:00,Hate Speech,public speech (political figures),male and female
56,38.903858,-77.036133,20036,DC,District of Columbia,2016,2016-06-24T00:00:00,National Political Speech,public speech (political figures),male and female
57,44.974271,-93.226376,55414,MN,Minnesota,2016,2016-07-01T00:00:00,Attempted Homicide,crimes against people,male
58,37.871601,-122.273026,94703,CA,California,2016,2016-04-14T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),male
59,39.925535,-75.113525,8104,NJ,New Jersey,2016,2016-04-16T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),female
61,29.764377,-95.364075,77201,TX,Texas,2016,2016-03-23T00:00:00,National Political Speech,public speech (political figures),male and female
62,38.89768,-77.036562,20500,DC,District of Columbia,2016,2016-11-08T00:00:00,Presidential Election,public speech (political figures),male and female
63,38.897596,-77.038676,20500,DC,District of Columbia,2016,2016-11-17T00:00:00,Political Appointment,public speech (political figures),male and female
64,38.952134,-77.144923,22101,MD,Maryland,2016,2016-11-18T00:00:00,Political Appointment,public speech (political figures),male and female
65,41.983994,-91.658936,52403,IA,Iowa,2016,2016-11-15T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male and female
66,33.770015,-118.196411,90802,CA,California,2016,2016-11-25T00:00:00,Violent Threat,public campaigns (targeting community),male and female
67,34.059486,-118.23967,90012,CA,California,2016,2016-11-25T00:00:00,Violent Threat,public campaigns (targeting community),male and female
68,33.196753,-96.640034,75070,TX,Texas,2016,2016-11-20T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male and female
69,40.463666,-79.991455,15212,PA,Pennsylvania,2016,2016-11-22T00:00:00,Assault,crimes against people,male
70,37.335224,-121.915283,95126,CA,California,2016,2016-11-24T00:00:00,Violent Threat,public campaigns (targeting community),male and female
71,33.760882,-84.385986,30303,GA,Georgia,2016,2016-11-25T00:00:00,Legislative Discrimination,legislation (targeting community),female
72,40.241799,-103.793335,80701,CO,Colorado,2016,2016-01-06T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male and female
73,33.445193,-112.071533,85004,AZ,Arizona,2016,2016-11-03T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male
74,32.073266,-81.114807,31415,GA,Georgia,2016,2016-11-27T00:00:00,Violent Threat,public campaigns (targeting community),male and female
75,37.956109,-100.865479,67846,KS,Kansas,2016,2016-10-14T00:00:00,Violent Threat,crimes against people,male and female
76,37.958275,-121.293182,95202,CA,California,2016,2016-11-26T00:00:00,Violent Threat,public campaigns (targeting community),male and female
77,41.812267,-71.38916,2914,RI,Rhode Island,2016,2016-11-29T00:00:00,Violent Threat,public campaigns (targeting community),male and female
78,42.27426,-83.729553,48104,MI,Michigan,2016,2016-12-01T00:00:00,Violent Threat,public campaigns (targeting community),male and female
79,39.766325,-86.160278,46204,IN,Indiana,2016,2016-11-29T00:00:00,Violent Threat,public campaigns (targeting community),male and female
80,25.772687,-80.231781,33125,FL,Florida,2016,2016-11-28T00:00:00,Violent Threat,public campaigns (targeting community),male and female
82,41.974296,-87.907791,60018,IL,Illinois,2015,2015-12-11T00:00:00,Violent Incident,crimes against people,female
83,38.542795,-121.738129,95616,CA,California,2016,2016-12-01T00:00:00,Violent Threat,public campaigns (targeting community),male and female
84,42.36311,-71.362381,1778,MA,Massachusetts,2016,2016-12-01T00:00:00,Violent Threat,public campaigns (targeting community),male and female
85,29.293585,-94.806519,77550,TX,Texas,2016,2016-11-27T00:00:00,Vandalism,crimes against property,male
86,44.177033,-88.06469,54110,WI,Wisconsin,2016,2016-02-03T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male and female
87,44.085612,-93.235474,55060,MN,Minnesota,2016,2016-04-27T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male and female
88,40.709792,-74.009399,10038,NY,New York,2016,2016-06-02T00:00:00,Employment Discrimination,bias-related incident (targeting individual or specific group),male
89,44.995883,-93.251953,55413,MN,Minnesota,2016,2016-11-12T00:00:00,Vandalism,crimes against property,male and female
90,32.787275,-79.936523,29403,SC,South Carolina,2016,2016-05-10T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),female
91,32.745558,-117.072029,92115,CA,California,2016,2016-10-30T00:00:00,Assault,crimes against people,male
92,37.692514,-97.338867,67202,KS,Kansas,2016,2016-10-28T00:00:00,Public Campaign,public campaigns (targeting community),male and female
93,28.035016,-82.391281,33617,FL,Florida,2016,2016-10-26T00:00:00,Public Campaign,public campaigns (targeting community),male
94,40.688318,-73.990173,11201,NY,New York,2016,2016-12-03T00:00:00,Violent Threat,crimes against people,female
95,42.690006,-83.40889,48329,MI,Michigan,2016,2016-10-25T00:00:00,Legislative Discrimination,public campaigns (targeting community),male and female
96,38.713108,-78.159485,22747,VA,Virginia,2016,2016-10-18T00:00:00,Hate Speech,public campaigns (targeting community),female
97,48.907608,-95.316696,56763,MN,Minnesota,2016,2016-10-17T00:00:00,Public Campaign,public campaigns (targeting community),male and female
98,42.492353,-92.349701,50701,IA,Iowa,2016,2016-10-14T00:00:00,Vandalism,crimes against property,male and female
99,38.88388,-77.022915,20410,DC,District of Columbia,2016,2016-12-05T00:00:00,Political Appointment,public speech (political figures),male and female
100,40.752727,-73.977234,10017,NY,New York,2016,2016-12-05T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
101,38.549172,-90.285988,63123,MO,Missouri,2016,2016-02-21T00:00:00,Harassment,crimes against people,male and female
102,41.29256,-72.962823,6516,CT,Connecticut,2016,2016-12-05T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
103,42.494884,-82.938194,48066,MI,Michigan,2016,2016-12-07T00:00:00,Hate Speech,public speech (political figures),male and female
104,44.476911,-93.438721,55046,MN,Minnesota,2016,2016-09-25T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),male and female
105,48.189895,-114.334717,59901,MT,Montana,2016,2016-09-15T00:00:00,Public Campaign,public campaigns (targeting community),male and female
106,38.471331,-77.996063,22701,VA,Virginia,2016,2016-09-16T00:00:00,Public Campaign,public campaigns (targeting community),male and female
107,38.907198,-77.036648,20036,DC,District of Columbia,2016,2016-12-08T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
108,37.33519,-121.88108,95112,CA,California,2016,2016-11-07T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
109,40.640921,-73.973651,11218,NY,New York,2016,2016-11-14T00:00:00,Violent Incident,crimes against people,female
110,35.457314,-94.788666,74955,OK,Oklahoma,2014,2014-09-15T00:00:00,Hate Speech,public speech (political figures),male and female
111,34.600998,-98.392868,73501,OK,Oklahoma,2016,2016-12-08T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
112,39.097029,-76.852112,20707,MD,Maryland,2016,2016-09-05T00:00:00,Vandalism,crimes against property,male and female
113,39.332439,-76.759758,21244,MD,Maryland,2016,2016-09-06T00:00:00,Vandalism,crimes against property,male and female
114,44.168646,-93.997253,56001,MN,Minnesota,2016,2016-08-28T00:00:00,Vandalism,crimes against property,male and female
115,44.287486,-105.497589,82716,WY,Wyoming,2016,2016-08-27T00:00:00,Hate Speech,public campaigns (targeting community),male and female
116,42.199911,-71.42478,1746,MA,Massachusetts,2016,2016-08-27T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
118,35.510221,-97.581961,73112,OK,Oklahoma,2016,2016-08-15T00:00:00,Hate Speech,crimes against property,male and female
119,40.784668,-73.94994,10128,NY,New York,2016,2016-08-09T00:00:00,Vandalism,crimes against people,male and female
120,32.867585,-97.249968,76148,TX,Texas,2016,2016-08-06T00:00:00,Violent Threat,crimes against people,male and female
121,45.977878,-94.376678,56345,MN,Minnesota,2016,2016-08-07T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),female
122,42.682435,-89.029083,53548,WI,Wisconsin,2016,2016-08-03T00:00:00,National Political Speech,public speech (political figures),male and female
123,38.893104,-77.01931,20001,DC,District of Columbia,2016,2016-07-31T00:00:00,National Political Speech,public speech (political figures),male and female
124,36.204391,-115.982666,89048,NV,Nevada,2016,2016-07-24T00:00:00,Vandalism,crimes against property,male and female
125,37.377797,-121.962147,95054,CA,California,2016,2016-07-23T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
126,41.233897,-96.138611,68144,NE,Nebraska,2016,2016-07-15T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
127,40.643136,-74.084244,10301,NY,New York,2016,2016-07-18T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
128,38.997841,-84.626656,41042,KY,Kentucky,2016,2016-07-17T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
129,32.235964,-110.961099,85705,AZ,Arizona,2016,2016-07-13T00:00:00,Vandalism,crimes against property,male and female
130,34.269985,-118.761408,93065,CA,California,2016,2016-12-10T00:00:00,Violent Incident,crimes against people,male
131,40.754312,-73.539605,11801,NY,New York,2016,2016-12-09T00:00:00,Vandalism,crimes against property,female
132,35.820597,-90.705872,0,AR,Arkansas,2016,2016-12-11T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
133,40.858503,-73.885782,10458,NY,New York,2016,2016-12-11T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male
134,40.686911,-73.94464,11221,NY,New York,2016,2016-12-09T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
135,40.713663,-74.011685,10007,NY,New York,2016,2016-07-14T00:00:00,National Political Speech,public speech (political figures),male and female
136,26.635184,-81.872177,33901,FL,Florida,2016,2016-06-27T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
137,26.382797,-80.096126,33431,FL,Florida,2016,2016-07-08T00:00:00,Public Campaign,public campaigns (targeting community),male and female
138,37.714754,-122.178011,94577,CA,California,2016,2016-07-11T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),female
139,33.713345,-117.806911,92780,CA,California,2016,2016-12-09T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
140,30.622255,-96.347491,77840,TX,Texas,2016,2016-07-07T00:00:00,Vandalism,crimes against property,male and female
141,44.9635,-93.197333,55414,MN,Minnesota,2016,2016-06-28T00:00:00,Violent Incident,crimes against people,male
142,37.543897,-77.441511,23219,VA,Virginia,2016,2016-06-24T00:00:00,Political Speech,public speech (political figures),male and female
143,34.06643,-118.291919,90020,CA,California,2016,2016-09-17T00:00:00,Violent Threat,crimes against people,male and female
144,35.031261,-79.121132,28376,NC,North Carolina,2016,2016-06-08T00:00:00,Violent Threat,crimes against people,male and female
145,42.351567,-71.066694,2116,MA,Massachusetts,2016,2016-06-15T00:00:00,Vandalism,crimes against property,male and female
146,39.351224,-84.378691,45069,OH,Ohio,2016,2016-06-13T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
147,41.7498,-88.208542,60504,IL,Illinois,2016,2016-06-13T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
149,39.663064,-86.385713,46168,IN,Indiana,2016,2016-06-10T00:00:00,Vandalism,crimes against property,male and female
150,32.931183,-96.700459,75042,TX,Texas,2016,2016-06-07T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
151,29.73689,-95.425068,77098,TX,Texas,2015,2015-12-25T00:00:00,Vandalism,crimes against property,male and female
152,32.814059,-96.955805,75060,TX,Texas,2015,2015-03-19T00:00:00,Legislative Discrimination,public campaigns (targeting community),male and female
153,40.714184,-73.75401,11428,NY,New York,2016,2016-06-01T00:00:00,Violent Incident,crimes against people,male
154,39.178847,-77.267447,20874,MD,Maryland,2016,2016-06-04T00:00:00,Harassment,crimes against people,female
155,42.551563,-83.059387,48310,MI,Michigan,2015,2015-09-15T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
156,40.762276,-73.974509,10022,NY,New York,2016,2016-12-15T00:00:00,National Political Speech,public speech (political figures),male and female
157,33.678497,-118.000975,92648,CA,California,2016,2016-11-19T00:00:00,Political Speech,public speech (political figures),male and female
158,32.50949,-93.729365,71111,LA,Louisiana,2016,2016-12-16T00:00:00,Political Speech,public speech (political figures),male and female
159,47.665647,-122.106557,98052,WA,Washington,2016,2016-12-18T00:00:00,Vandalism,crimes against property,male and female
160,44.507417,-73.149419,5446,VT,Vermont,2016,2016-12-01T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
161,42.511321,-70.891685,1970,MA,Massachusetts,2016,2016-05-27T00:00:00,Vandalism,crimes against property,male and female
162,36.76206,-76.258485,23320,VA,Virginia,2016,2016-05-25T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
163,43.607237,-72.975268,5701,VT,Vermont,2016,2016-05-24T00:00:00,Public Campaign,public campaigns (targeting community),male and female
164,42.045516,-71.896977,1571,MA,Massachusetts,2016,2016-05-23T00:00:00,Legislative Discrimination,public campaigns (targeting community),male and female
165,39.75016,-105.213779,80401,CO,Colorado,2016,2016-05-23T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
166,47.433661,-122.272661,98188,WA,Washington,2016,2016-05-23T00:00:00,Harassment,public campaigns (targeting community),male and female
167,45.693831,-121.562519,97031,OR,Oregon,2016,2016-05-22T00:00:00,Public Campaign,public campaigns (targeting community),male and female
168,29.763381,-95.360309,77002,TX,Texas,2016,2016-05-21T00:00:00,Public Campaign,public campaigns (targeting community),male and female
169,30.355175,-86.097708,32459,FL,Florida,2016,2016-05-21T00:00:00,Public Campaign,public campaigns (targeting community),male and female
170,40.867444,-73.883786,10458,NY,New York,2016,2016-05-21T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
171,29.793878,-95.446386,77008,TX,Texas,2016,2016-05-16T00:00:00,Harassment,public speech (political figures),male
172,43.607016,-72.975209,5701,VT,Vermont,2016,2016-05-12T00:00:00,Public Campaign,public campaigns (targeting community),male and female
173,47.943947,-122.305298,98275,WA,Washington,2016,2016-05-10T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
174,38.574575,-121.471925,95816,CA,California,2016,2016-05-03T00:00:00,Violent Threat,public campaigns (targeting community),male and female
175,34.000304,-81.033139,29201,SC,South Carolina,2016,2016-05-04T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
176,34.826205,-95.857086,74501,OK,Oklahoma,2016,2016-05-02T00:00:00,Attempted Homicide,crimes against people,male
177,33.999984,-81.034298,29201,SC,South Carolina,2016,2016-12-22T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
178,40.862552,-76.790571,17801,PA,Pennsylvania,2016,2016-12-21T00:00:00,Public Campaign,crimes against property,male and female
179,40.728917,-74.175611,7102,NJ,New Jersey,2016,2016-12-05T00:00:00,Harassment,crimes against people,female
180,26.677066,-80.037031,33480,FL,Florida,2016,2016-12-21T00:00:00,National Political Speech,public speech (political figures),male and female
181,32.854211,-79.974718,29405,SC,South Carolina,2016,2016-02-19T00:00:00,National Political Speech,public speech (political figures),male and female
182,33.636417,-117.92201,92627,CA,California,2016,2016-04-28T00:00:00,National Political Speech,public speech (political figures),male and female
183,32.775729,-117.071943,92115,CA,California,2016,2016-04-18T00:00:00,Public Campaign,public campaigns (targeting community),male and female
184,44.881418,-93.222427,55111,MN,Minnesota,2016,2016-04-27T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
185,40.766485,-73.937688,11106,NY,New York,2016,2016-04-27T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
186,34.241608,-118.570375,91311,CA,California,2016,2016-04-27T00:00:00,Public Campaign,bias-related incident (targeting individual or specific group),male and female
187,44.484596,-73.217783,5401,VT,Vermont,2016,2016-04-26T00:00:00,Violent Incident,crimes against people,female
188,26.229817,-80.1408,33071,FL,Florida,2016,2016-04-25T00:00:00,National Political Speech,public speech (political figures),male and female
189,40.918377,-74.119048,7407,NJ,New Jersey,2016,2016-04-20T00:00:00,Education Discrimination,public speech (political figures),male and female
190,38.910546,-77.043691,20036,DC,District of Columbia,2016,2016-04-21T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
191,33.749,-84.388111,30303,GA,Georgia,2016,2016-04-18T00:00:00,Public Campaign,public campaigns (targeting community),male and female
192,41.962873,-87.912083,60143,IL,Illinois,2016,2016-04-13T00:00:00,Airport Discrimination,bias-related incident (targeting individual or specific group),female
193,41.256727,-76.907108,17754,PA,Pennsylvania,2016,2016-04-13T00:00:00,Education Discrimination,public speech (political figures),male and female
194,47.897888,-122.294118,98275,WA,Washington,2016,2016-04-09T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
195,36.165493,-86.784267,37219,TN,Tennessee,2016,2016-04-05T00:00:00,Political Speech,public speech (political figures),male and female
196,33.599585,-83.862811,30014,GA,Georgia,2016,2016-08-17T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
197,39.768634,-86.162789,46204,IN,Indiana,2016,2016-12-31T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
198,43.6702,-70.284004,4101,ME,Maine,2016,2016-12-24T00:00:00,Vandalism,crimes against property,male and female
199,29.574577,-95.604014,77479,TX,Texas,2016,2016-03-31T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male
200,42.27592,-83.736881,48103,MI,Michigan,2016,2016-03-23T00:00:00,Vandalism,bias-related incident (targeting individual or specific group),male and female
201,40.749695,-73.181949,11752,NY,New York,2016,2016-08-17T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),male
202,37.636325,-122.062654,94544,CA,California,2016,2016-03-17T00:00:00,Education Discrimination,bias-related incident (targeting individual or specific group),female
203,38.912541,-77.021799,20001,DC,District of Columbia,2016,2016-03-23T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
204,29.729688,-95.44085,77046,TX,Texas,2016,2016-03-22T00:00:00,National Political Speech,public speech (political figures),male and female
205,43.617778,-116.19956,83702,ID,Idaho,2016,2016-03-10T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
206,43.617774,-116.199346,83702,ID,Idaho,2015,2015-04-30T00:00:00,Legislative Discrimination,public speech (political figures),male and female
207,26.887225,-80.087349,33477,FL,Florida,2016,2016-03-09T00:00:00,National Political Speech,public speech (political figures),male and female
208,41.978671,-71.333445,2760,MA,Massachusetts,2016,2016-03-08T00:00:00,Political Speech,public speech (political figures),male and female
209,45.713731,-121.53368,97031,WA,Washington,2016,2016-02-29T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
210,35.336414,-80.800753,28269,NC,North Carolina,2016,2016-11-16T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
211,40.92496,-73.836365,10552,NY,New York,2016,2016-09-30T00:00:00,Hate Speech,crimes against property,male and female
212,35.367951,-119.044933,93309,CA,California,2016,2016-09-30T00:00:00,Harassment,crimes against people,male
213,38.907098,-77.043471,20036,DC,District of Columbia,2016,2016-09-30T00:00:00,Violent Incident,bias-related incident (targeting individual or specific group),male
214,34.570224,-86.972548,35601,AL,Alabama,2016,2016-09-26T00:00:00,Political Speech,public speech (political figures),male and female
215,35.080373,-92.455616,0,AR,Arkansas,2016,2016-09-19T00:00:00,Political Speech,public speech (political figures),male and female
216,36.167922,-86.787229,37219,TN,Tennessee,2016,2016-09-15T00:00:00,Education Discrimination,public campaigns (targeting community),male and female
217,37.434658,-122.161274,94305,CA,California,2016,2016-09-06T00:00:00,Hate Speech,bias-related incident (targeting individual or specific group),female
218,43.062664,-76.140651,13203,NY,New York,2016,2016-08-11T00:00:00,National Political Speech,public speech (political figures),male and female
219,29.595812,-95.621867,77479,TX,Texas,2016,2016-12-31T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
220,42.920229,-78.88793,14213,NY,New York,2016,2016-02-29T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
221,40.651797,-89.535098,61611,IL,Illinois,2016,2016-02-28T00:00:00,Violent Threat,bias-related incident (targeting individual or specific group),male and female
222,33.658326,-117.999676,92648,CA,California,2016,2016-02-28T00:00:00,Assault,crimes against people,male
223,36.164986,-86.783441,37219,TN,Tennessee,2016,2016-02-29T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
224,39.66237,-86.386399,46168,IN,Indiana,2016,2016-02-28T00:00:00,Vandalism,crimes against property,male and female
225,41.2633,-96.035421,68114,NE,Nebraska,2016,2016-02-16T00:00:00,Harassment,bias-related incident (targeting individual or specific group),female
226,39.112547,-76.458406,21122,MD,Maryland,2016,2016-02-14T00:00:00,Public Campaign,public campaigns (targeting community),male and female
227,30.438037,-84.281327,32301,FL,Florida,2016,2016-02-16T00:00:00,Legislative Discrimination,legislation (targeting community),male and female
228,47.708289,-122.312765,98125,WA,Washington,2016,2016-02-04T00:00:00,Harassment,crimes against people,male
229,42.045413,-71.895352,1571,MA,Massachusetts,2016,2016-02-05T00:00:00,Anti-Cemetery Campaign,public campaigns (targeting community),male and female
230,41.667013,-87.816725,60464,IL,Illinois,2016,2016-02-05T00:00:00,Anti-Mosque Campaign,public campaigns (targeting community),male and female
231,38.980271,-76.49217,21401,MD,Maryland,2016,2016-02-02T00:00:00,National Political Speech,public speech (political figures),male and female
232,46.873262,-113.995932,59802,MT,Montana,2016,2016-02-01T00:00:00,Public Campaign,public campaigns (targeting community),male and female
233,40.188119,-105.117702,80501,CO,Colorado,2017,2017-01-04T00:00:00,Harassment,bias-related incident (targeting individual or specific group),male and female
234,38.903512,-77.02726,20002,DC,District of Columbia,2016,2016-11-18T00:00:00,Political Appointment,public speech (political figures),male and female
